benchmark,modality,run_id,run_name,created_at,state,masking_ratio,noise_type,test_auroc,test_ap,test_f1,test_balanced_acc,test_loss,val_auroc,val_ap,val_f1,train_auroc,train_loss,notes
brats18_lgg_vs_hgg,t1,7245530612.96884-51c57f8d-c0d0,resenc_MDAE_pretrained_t1_2025-08-06_08-41-56,2025-08-06T08:42:34Z,finished,80,Flow,0.6460317373275757,0.5976243019104004,0.4000000059604645,0.4523809552192688,0.6489954590797424,0.5428571701049805,0.5635056495666504,0.3837837874889374,0.9992945194244384,0.3507272005081177,Masking Ratio Ablation: Flow 80% - brats18 lgg_vs_hgg t1
brats18_lgg_vs_hgg,t1,7245530666.96904-7bf7b871-41af,resenc_MDAE_pretrained_t1_2025-08-06_08-42-28,2025-08-06T08:43:09Z,finished,75,Flow,0.6190476417541504,0.5891979932785034,0.607926607131958,0.6642857193946838,0.6945633888244629,0.4285714030265808,0.4821229577064514,0.416879802942276,0.9975308179855348,0.3583246171474457,Masking Ratio Ablation: Flow 75% - brats18 lgg_vs_hgg t1
brats18_lgg_vs_hgg,t1,7245530475.16166-8832279d-8ba7,resenc_MDAE_pretrained_t1_2025-08-06_08-43-53,2025-08-06T08:44:31Z,finished,90,Flow,0.5063492059707642,0.5385227203369141,0.4868420958518982,0.49761903285980225,0.8854818940162659,0.5031746029853821,0.5104919672012329,0.4897698163986206,0.9980599284172058,0.3543560206890106,Masking Ratio Ablation: Flow 90% - brats18 lgg_vs_hgg t1
brats18_lgg_vs_hgg,t1,7245530422.44104-277cb1e7-75e8,resenc_MDAE_pretrained_t1_2025-08-06_08-44-37,2025-08-06T08:45:13Z,finished,95,Flow,0.5920634865760803,0.5754197239875793,0.42424243688583374,0.5,0.7040079832077026,0.5063492059707642,0.5182146430015564,0.42424243688583374,0.9996472597122192,0.352906733751297,Masking Ratio Ablation: Flow 95% - brats18 lgg_vs_hgg t1
brats18_lgg_vs_hgg,t1,7245530555.13521-1330a90e-1f32,resenc_MDAE_pretrained_t1_2025-08-06_09-20-53,2025-08-06T09:21:36Z,finished,85,Flow,0.5507936477661133,0.5510230660438538,0.40186551213264465,0.4000000059604645,0.6831971406936646,0.4841269850730896,0.5274445414543152,0.4309178590774536,1.0,0.3438073396682739,Masking Ratio Ablation: Flow 85% - brats18 lgg_vs_hgg t1
brats18_lgg_vs_hgg,t2,7245530640.20490-e5c2a56e-e8f5,resenc_MDAE_pretrained_t2_2025-08-06_08-41-28,2025-08-06T08:42:08Z,finished,75,Flow,0.5634920597076416,0.5598189830780029,0.5739202499389648,0.5714285969734192,0.7134899497032166,0.5333333015441895,0.5358737707138062,0.5262148380279541,0.9961199760437012,0.36449456214904785,Masking Ratio Ablation: Flow 75% - brats18 lgg_vs_hgg t2
brats18_lgg_vs_hgg,t2,7245530581.55626-4a565052-f7f3,resenc_MDAE_pretrained_t2_2025-08-06_08-41-55,2025-08-06T08:42:31Z,finished,80,Flow,0.7396825551986694,0.747957706451416,0.42424243688583374,0.5,0.5910213589668274,0.5087301731109619,0.5260448455810547,0.42424243688583374,0.9943562746047974,0.3644406497478485,Masking Ratio Ablation: Flow 80% - brats18 lgg_vs_hgg t2
brats18_lgg_vs_hgg,t2,7245530449.00780-0f8014f8-20a9,resenc_MDAE_pretrained_t2_2025-08-06_08-44-13,2025-08-06T08:44:48Z,finished,90,Flow,0.49841272830963135,0.5050837993621826,0.5948373079299927,0.6023809313774109,0.7422178983688354,0.6015872955322266,0.6268540024757385,0.5043478012084961,0.9925925731658936,0.35786858201026917,Masking Ratio Ablation: Flow 90% - brats18 lgg_vs_hgg t2
brats18_lgg_vs_hgg,t2,7245530396.04710-536d98a4-ce81,resenc_MDAE_pretrained_t2_2025-08-06_08-45-04,2025-08-06T08:45:39Z,finished,95,Flow,0.6000000238418579,0.5652218461036682,0.5132583975791931,0.5166666507720947,0.696049153804779,0.5476190447807312,0.5626802444458008,0.4962121248245239,0.9992945194244384,0.35278892517089844,Masking Ratio Ablation: Flow 95% - brats18 lgg_vs_hgg t2
brats18_lgg_vs_hgg,t2,7245530505.02039-15069255-9af9,resenc_MDAE_pretrained_t2_2025-08-06_09-20-54,2025-08-06T09:21:37Z,finished,85,Flow,0.6523809432983398,0.6240229606628418,0.6227940917015076,0.6357142925262451,0.6489000916481018,0.5158729553222656,0.5304199457168579,0.4858002066612244,0.9978835582733154,0.3577412962913513,Masking Ratio Ablation: Flow 85% - brats18 lgg_vs_hgg t2
